LOCAL SERACHER, LOCAL NODES
 Attempt    Nodes    Edges Distance          Time         TTime
       9     1000     1000       -1           455           602
      10     1000     1000       -1           122           253
      11     1000     2000       12         83235        322338
      12     1000     2000       -1           107           163
      13     1000     2000        7         12736         47709
      14     1000     2000       -1            89           159
      15     1000     2000        8         32816         44233
      16     1000     2000       11         83963        685116
      17     1000     2000       -1         92307       1281965
      18     1000     2000       10         27634        245389
      19     1000     2000       10         40643        403092
      20     1000     2000       11         72891        879977
      21     1000     3000        3          1020          3703
      22     1000     3000        5          8412        321507
      23     1000     3000        8         94792        525197
      24     1000     3000        5         20722        870524
      25     1000     3000        7         79396        209361
      26     1000     3000        8         85577        474775
      27     1000     3000        7         70097        729886
      28     1000     3000        5         23208       1105510
      29     1000     3000        6         23717        361843
      30     1000     3000        5          7329        333465
      31     1000     4000        5         42187       3299865
      32     1000     4000        5         29420       2903727
      33     1000     4000        5         35217       3507807
      34     1000     4000        7         54041        571335
      35     1000     4000        7        418986        847925
      36     1000     4000       -1            74           124
      37     1000     4000        4         12196         14329
      38     1000     4000        6         68666       2783060
      39     1000     4000        5         27339       2979958
      40     1000     4000        6         95742       2521550
      41     1000     5000        5         54915       8974584
      42     1000     5000        4         33784         36158
      43     1000     5000        4         13393         17101
      44     1000     5000        4         25479         29793
      45     1000     5000        5         61797      12711480
      46     1000     5000        5         71411      12965344
      47     1000     5000        6        101001       8972867
      48     1000     5000        6         95276       7253515
      49     1000     5000        6         70740       5512996
      50     1000     5000        3          5755         30933
      51     1000     6000        4         42483         44846
      52     1000     6000        5         78415      35741518
      53     1000     6000        4         43160         50796
      54     1000     6000        3          7843       2494681
      55     1000     6000        5         67962      33494567
      56     1000     6000        5         73453      34924057
      57     1000     6000        5         42955      21101741
      58     1000     6000        4         53358         60088
      59     1000     6000        5         97961      49188962
      60     1000     6000        5        152120      42676777
      61     1000     7000        2          1213         37664
      62     1000     7000        5        158110      84096850
      63     1000     7000        4         51652         58789
      64     1000     7000        4         50103         56016
      65     1000     7000        3          7076         47948
      66     1000     7000        5        109386      77409123
      67     1000     7000        4         31814         37850
      68     1000     7000        4         35207         41406
      69     1000     7000        4         34603         40714
      70     1000     7000        5        118718      83916619
      71     1000     8000        4         68843         77434
      72     1000     8000        3         14728         84640
      73     1000     8000        3         18380         97891
      74     1000     8000        4         58726         67040
      75     1000     8000        3         12329         75872
      76     1000     8000        4         61596         69058
      77     1000     8000        5        141039     119985625
      78     1000     8000        4         64083         70103
      79     1000     8000        4         73315         79597
      80     1000     8000        4         32408         37355
      81     1000     9000        3         13794         87903
      82     1000     9000        3         14107       1706377
      83     1000     9000        4         90700         88954
      84     1000     9000        3         19513        108390
      85     1000     9000        4         93940        100537
      86     1000     9000        4         76493        183616
      87     1000     9000        3         10687         44118
      88     1000     9000        1           278        111554
      89     1000     9000        3         12653         85129
      90     1000     9000        3         11725         83960
      91     1000    10000        2          2925       1732487
      92     1000    10000        3         21714        114902
      93     1000    10000        3         11864         89899
      94     1000    10000        0             1         95541
      95     1000    10000        4         89094         95955
      96     1000    10000        3         15820        105293
      97     1000    10000        4         67111         73584
      98     1000    10000        2          1923        108074
      99     1000    10000        2          1228         84891
     100     1000    10000        3         19307        116701
     101     1000    11000        4        128879        133684
     102     1000    11000        3         27083        136441
     103     1000    11000        3         13595         97252
     104     1000    11000        4         92589        100084
     105     1000    11000        3         11265         89452
     106     1000    11000        4        130203        135551
     107     1000    11000        3         20842        126123
     108     1000    11000        3         21936        130597
     109     1000    11000        3         14241        103975
     110     1000    11000        3         20718        127859
     111     1000    12000        3         16541        122748
