LOCAL SERACHER, LOCAL NODES
 Attempt    Nodes    Edges Distance          Time         TTime
      27      500     1500        7          1202          1479
      28      500     1500       -1          1585         20330
      29      500     1500        6          1670          3981
      30      500     1500        9          1379          5965
      31      500     2000        4          1553          1369
      32      500     2000        4          1308          1344
      33      500     2000        4          1289          1313
      34      500     2000        6          1382          6599
      35      500     2000        6          1546         10094
      36      500     2000        5          1570         17104
      37      500     2000        2          1535          1347
      38      500     2000        6          1528         16553
      39      500     2000        4          1593          1299
      40      500     2000        3          1279          1360
      41      500     2500        3          1449          1569
      42      500     2500        4          1458          1507
      43      500     2500        4          1450          1512
      44      500     2500        5          1554         34699
      45      500     2500        3          1676          1496
      46      500     2500        2          1360          1474
      47      500     2500        3          1368          1474
      48      500     2500        4          1425          1472
      49      500     2500        5          1568         35928
      50      500     2500        4          3073          1502
      51      500     3000        4          1634          1626
      52      500     3000        1          1442          1695
      53      500     3000        4          1541          1591
      54      500     3000        3          1464          1634
      55      500     3000        3          1487          1692
      56      500     3000        4          1656          1672
      57      500     3000        3          1474          1640
      58      500     3000        4          1614          1647
      59      500     3000        3          1491          1673
      60      500     3000        4          1605          1658
      61      500     3500        4          1691          1685
      62      500     3500        3          1579          1821
      63      500     3500        1          1521          1772
      64      500     3500        3          1558          1774
      65      500     3500        4          2248          1785
      66      500     3500        4          1666          1690
      67      500     3500        3          1547          1729
      68      500     3500        4          1755          1774
      69      500     3500        2          1520          1785
      70      500     3500        3          1566          1781
      71      500     4000        3          2994          1828
      72      500     4000        3          1648          1857
      73      500     4000        3          1602          1800
      74      500     4000        3          1677          1932
      75      500     4000        3          1686          1922
      76      500     4000        4          1825          1893
      77      500     4000        4          1788          1830
      78      500     4000        3          1642          1908
      79      500     4000        3          1651          1896
      80      500     4000        3          1676          1922
      81      500     4500        2          1730          2055
      82      500     4500        3          3308          2086
      83      500     4500        4          1924          1935
      84      500     4500        3          1682          1882
      85      500     4500        3          1716          1928
      86      500     4500        3          1778          2041
      87      500     4500        2          1680          2004
      88      500     4500        3          1753          2012
      89      500     4500        3          1755          2016
      90      500     4500        3          1730          1940
      91      500     5000        3          1937          2191
      92      500     5000        3          1822          2065
      93      500     5000        3          1860          2139
      94      500     5000        3          1894          2154
      95      500     5000        3          1840          2132
      96      500     5000        3          1841          2165
      97      500     5000        2          1757          2097
      98      500     5000        3          1836          2107
      99      500     5000        3          1903          2138
     100      500     5000        4          2010          2036
     101      500     5500        3          1938          2168
     102      500     5500        3          1890          2182
     103      500     5500        3          1954          2261
     104      500     5500        3          1941          2242
     105      500     5500        3          1897          2222
     106      500     5500        3          1904          2218
     107      500     5500        3          1926          2252
     108      500     5500        2          1851          2275
     109      500     5500        3          2705          2260
     110      500     5500        4          2197          2202
     111      500     6000        3          2065          2343
     112      500     6000        3          2091          2414
     113      500     6000        3          2033          2361
     114      500     6000        2          1930          2388
     115      500     6000        3          2011          2343
     116      500     6000        2          1925          2374
     117      500     6000        3          2077          2371
     118      500     6000        2          1931          2371
     119      500     6000        2          1909          2372
     120      500     6000        3          2053          2376
     121      500     6500        3          2210          2475
     122      500     6500        0          1991          2488
     123      500     6500        3          2161          2487
     124      500     6500        3          2157          2483
     125      500     6500        3          2167          2496
     126      500     6500        2          2018          2497
     127      500     6500        3          2178          2489
     128      500     6500        2          2006          2487
     129      500     6500        3          2206          2549
     130      500     6500        2          2028          2501
     131      500     7000        3          2356          3779
     132      500     7000        3          2301          2612
     133      500     7000        3          2530          2558
     134      500     7000        3          2242          2600
     135      500     7000        3          2301          2604
     136      500     7000        2          2094          2625
     137      500     7000        3          2304          2611
     138      500     7000        3          2210          2623
     139      500     7000        3          2277          2573
     140      500     7000        3          2285          2611
     141      500     7500        2          2267          2696
     142      500     7500        3          2399          3928
     143      500     7500        3          3591          2812
     144      500     7500        3          2767          2708
     145      500     7500        2          2149          2713
     146      500     7500        3          3610          2980
     147      500     7500        3          2401          2699
     148      500     7500        2          2159          2695
     149      500     7500        3          2267          2669
     150      500     7500        3          2457          2703
