# search with index, CACHE_ELEM_SIZE = 1024
size	du3_random
1024*64	5.00016
1024*256	5.68023
1024*1024	5.50001
1024*4096	5.29045
1024*16384	4.84031
1024*65536	5.31279
1024*262144	5.15165
1024*1048576	5.02424
1024*4194304	4.50466
16384*64	5.18264
16384*256	5.78849
16384*1024	5.63746
16384*4096	5.62785
16384*16384	5.78713
16384*65536	6.73491
16384*262144	10.6536
16384*1048576	8.84934
16384*4194304	6.1879
262144*64	5.35855
262144*256	5.83242
262144*1024	5.93413
262144*4096	5.84151
262144*16384	6.31119
262144*65536	7.87064
262144*262144	15.6202
262144*1048576	19.5516
262144*4194304	18.78
4194304*64	5.50632
4194304*256	5.93393
4194304*1024	6.09038
4194304*4096	6.30845
4194304*16384	6.70576
4194304*65536	8.53315
4194304*262144	16.8097
4194304*1048576	23.6175
4194304*4194304	27.8652
